i	j	x	r	mach	theta	press	temp
23	48	0.65768	0.992564	1.81995	17.4819	50.9922	3172.62
24	48	0.672769	0.988293	1.82503	17.4633	50.5799	3167.15
25	48	0.688048	0.983993	1.83022	17.443	50.1615	3161.56
26	48	0.703518	0.979664	1.83553	17.421	49.7371	3155.86
27	48	0.719179	0.975307	1.84095	17.397	49.3066	3150.03
28	48	0.735031	0.970922	1.84649	17.3712	48.8702	3144.08
29	48	0.751073	0.96651	1.85215	17.3434	48.428	3138.01
30	48	0.767305	0.962072	1.85793	17.3136	47.98	3131.82
31	48	0.783727	0.957608	1.86382	17.2817	47.5264	3125.5
32	48	0.800338	0.953118	1.86984	17.2477	47.0673	3119.06
33	48	0.817136	0.948604	1.87599	17.2115	46.6029	3112.49
34	48	0.834122	0.944066	1.88225	17.1731	46.1333	3105.79
35	48	0.850822	0.939629	1.88818	17.143	45.6929	3099.47
36	48	0.866778	0.935415	1.89341	17.1286	45.3075	3093.89
37	48	0.882881	0.931188	1.89883	17.1096	44.9111	3088.12
38	48	0.898829	0.927025	1.90414	17.0931	44.5262	3082.47
39	48	0.915217	0.922773	1.90983	17.0685	44.1165	3076.42
40	48	0.931412	0.918595	1.91534	17.0478	43.7227	3070.56
41	48	0.948204	0.914288	1.92136	17.0166	43.2964	3064.17
42	48	0.964613	0.910103	1.92704	16.9931	42.8978	3058.15
43	48	0.981594	0.905797	1.9332	16.9595	42.4691	3051.63
44	48	0.99864	0.901499	1.9394	16.9253	42.0414	3045.07
45	48	1.01562	0.897242	1.94553	16.8925	41.6218	3038.58
46	48	1.03317	0.892865	1.95215	16.8498	41.1734	3031.59
47	48	1.0504	0.888593	1.95849	16.8129	40.7481	3024.91
48	48	1.06789	0.884279	1.96506	16.7715	40.3118	3017.99
49	48	1.08588	0.879865	1.97205	16.721	39.8518	3010.64
50	48	1.10341	0.875587	1.97866	16.6786	39.4215	3003.7
51	48	1.12124	0.871259	1.98553	16.6304	38.9784	2996.49
52	48	1.13955	0.866836	1.99282	16.5735	38.5133	2988.85
53	48	1.15756	0.862509	1.99987	16.5213	38.0684	2981.48
54	48	1.17552	0.858213	2.00691	16.4689	37.6287	2974.12
55	48	1.19402	0.853812	2.01441	16.4067	37.165	2966.29
56	48	1.21269	0.849389	2.02209	16.3404	36.696	2958.29
57	48	1.23055	0.845177	2.02914	16.2864	36.2702	2950.96
58	48	1.24907	0.840829	2.03678	16.22	35.8143	2943.04
59	48	1.26791	0.836423	2.04472	16.1467	35.3455	2934.8
