i	j	x,in	r,in	mach	theta	pres,psi	temp,R	Density,slug/ft3	massflow
30	2	0.0515172	0.897172	1.09903	0.817788	142.539	3947.56	0.0022646	4.77267
31	2	0.0547743	0.890278	1.09813	0.842708	142.694	3948.47	0.00226654	4.69913
32	2	0.0581313	0.883149	1.09731	0.866198	142.833	3949.29	0.00226828	4.62365
33	2	0.061588	0.875785	1.09659	0.8882	142.957	3950.02	0.00226983	4.54632
34	2	0.0651441	0.86819	1.09597	0.908667	143.063	3950.64	0.00227116	4.46721
35	2	0.0687997	0.860367	1.09545	0.92756	143.153	3951.17	0.00227228	4.38642
36	2	0.0725543	0.852317	1.09503	0.944855	143.225	3951.59	0.00227318	4.30405
37	2	0.0764077	0.844046	1.09471	0.960536	143.279	3951.91	0.00227385	4.2202
38	2	0.0803597	0.835557	1.0945	0.974596	143.315	3952.12	0.0022743	4.13497
39	2	0.0844099	0.826856	1.0944	0.987039	143.333	3952.22	0.00227452	4.0485
40	2	0.0885579	0.817946	1.0944	0.997877	143.333	3952.22	0.00227452	3.96088
41	2	0.0928034	0.808833	1.0945	1.00713	143.315	3952.12	0.0022743	3.87225
42	2	0.097146	0.799524	1.09471	1.01482	143.28	3951.91	0.00227386	3.78272
43	2	0.101585	0.790023	1.09501	1.02099	143.228	3951.61	0.00227321	3.69242
44	2	0.10612	0.780338	1.09541	1.02567	143.159	3951.2	0.00227236	3.60148
45	2	0.11075	0.770474	1.0959	1.0289	143.075	3950.71	0.0022713	3.51001
46	2	0.115476	0.760438	1.09649	1.03074	142.975	3950.12	0.00227005	3.41815
47	2	0.120295	0.750237	1.09716	1.03121	142.86	3949.45	0.00226862	3.32601
48	2	0.125207	0.739876	1.09791	1.03038	142.731	3948.69	0.002267	3.23372
49	2	0.130212	0.729363	1.09874	1.02828	142.589	3947.85	0.00226522	3.14139
50	2	0.135309	0.718704	1.09965	1.02496	142.433	3946.94	0.00226328	3.04913
51	2	0.140496	0.707906	1.10063	1.02046	142.266	3945.95	0.00226119	2.95707
